Symbol,Entry Date,Exit Date,Entry,Exit,Qty,PNL,Result,ML Conf,AI Score,Equity,Peak,Drawdown (%)
Anabatic Technologies Tbk.,2021-06-30,2021-07-02,1965,1886.0,7562,-594373.0,SL,0.61,65,58850272.0,138388944.0,-57.47473006225121
Anabatic Technologies Tbk.,2021-06-30,2021-07-02,1965,1886.0,7487,-588478.0,SL,0.61,65,58261794.0,138388944.0,-57.89996489893008
Anabatic Technologies Tbk.,2021-11-22,2021-11-29,635,673.0,22937,873900.0,TP,0.562,65,59135694.0,138388944.0,-57.26848381760902
Anabatic Technologies Tbk.,2021-11-25,2021-11-29,635,673.0,23281,887006.0,TP,0.569,65,60022700.0,138388944.0,-56.62753232657083
Anabatic Technologies Tbk.,2021-11-30,2022-01-03,740,784.0,20277,900299.0,TP,0.701,65,60922999.0,138388944.0,-55.976975299414086
Anabatic Technologies Tbk.,2022-01-05,2022-01-06,705,677.0,21603,-609205.0,SL,0.681,65,60313794.0,138388944.0,-56.417187488619035
Anabatic Technologies Tbk.,2022-01-07,2022-01-07,670,710.0,22505,904701.0,TP,0.575,65,61218495.0,138388944.0,-55.76344957152068
Anabatic Technologies Tbk.,2022-01-12,2022-01-17,650,645.0,23545,-117725.0,TIMEOUT,0.581,65,61100770.0,138388944.0,-55.84851778332812
Anabatic Technologies Tbk.,2022-02-09,2022-02-14,630,615.0,24246,-363690.0,TIMEOUT,0.566,65,60737080.0,138388944.0,-56.111320569076675
Anabatic Technologies Tbk.,2022-03-18,2022-03-21,560,538.0,27114,-607354.0,SL,0.562,65,60129726.0,138388944.0,-56.550195223687815
Anabatic Technologies Tbk.,2022-03-24,2022-03-24,515,546.0,29189,901940.0,TP,0.59,65,61031667.0,138388944.0,-55.8984516855624
Anabatic Technologies Tbk.,2022-03-24,2022-04-01,515,505.0,29627,-296270.0,TIMEOUT,0.569,65,60735397.0,138388944.0,-56.11253670668952
Anabatic Technologies Tbk.,2022-05-31,2022-06-02,438,420.0,34666,-607348.0,SL,0.56,65,60128048.0,138388944.0,-56.55140774829527
Anabatic Technologies Tbk.,2022-06-06,2022-06-13,430,434.0,34958,139832.0,TIMEOUT,0.621,65,60267880.0,138388944.0,-56.45036499447528
Anabatic Technologies Tbk.,2022-06-09,2022-06-16,434,417.0,34716,-602670.0,SL,0.611,65,59665211.0,138388944.0,-56.88585426303997
Anabatic Technologies Tbk.,2022-06-14,2022-06-16,438,420.0,34055,-596644.0,SL,0.615,65,59068567.0,138388944.0,-57.316989860114845
Anabatic Technologies Tbk.,2022-07-29,2022-07-29,400,384.0,36917,-590672.0,SL,0.566,65,58477895.0,138388944.0,-57.743810083556966
Anabatic Technologies Tbk.,2022-07-29,2025-09-01,400,424.0,36548,877152.0,TP,0.566,65,59355047.0,138388944.0,-57.109979103533014
Anabatic Technologies Tbk.,2025-09-02,2025-09-08,438,464.0,33878,890314.0,TP,0.701,65,60245361.0,138388944.0,-56.46663724813161
Anabatic Technologies Tbk.,2025-09-03,2025-09-08,444,446.0,33921,67842.0,TIMEOUT,0.717,65,60313203.0,138388944.0,-56.417614545855635
Anabatic Technologies Tbk.,2025-09-08,2025-09-09,446,428.0,33807,-603117.0,SL,0.711,65,59710086.0,138388944.0,-56.853427539702885
Anabatic Technologies Tbk.,2025-09-10,2025-09-16,436,462.0,34237,895640.0,TP,0.7,65,60605726.0,138388944.0,-56.20623711096459
Anabatic Technologies Tbk.,2025-09-22,2025-09-25,448,430.0,33820,-606054.0,SL,0.582,65,59999671.0,138388944.0,-56.644173106776506
Anabatic Technologies Tbk.,2025-09-30,2025-11-03,432,458.0,34722,899994.0,TP,0.554,65,60899666.0,138388944.0,-55.99383575034722
Anabatic Technologies Tbk.,2025-11-06,2025-11-06,700,742.0,21749,913458.0,TP,0.668,65,61813124.0,138388944.0,-55.33377001561628
Ancara Logistics Indonesia Tbk.,2025-11-06,2026-01-02,570,604.0,27111,927196.0,TP,0.652,65,62740320.0,138388944.0,-54.663777187287444
Ancora Indonesia Resources Tbk.,2020-04-28,2020-04-29,72,76.0,217848,941103.0,TP,0.676,65,63681423.0,138388944.0,-53.9837351457787
Ancora Indonesia Resources Tbk.,2020-05-04,2020-05-05,72,69.0,221116,-636814.0,SL,0.633,65,63044609.0,138388944.0,-54.44389762812266
Ancora Indonesia Resources Tbk.,2020-05-08,2020-05-11,78,75.0,202066,-630446.0,SL,0.623,65,62414163.0,138388944.0,-54.899458586807334
Ancora Indonesia Resources Tbk.,2020-05-13,2020-05-14,79,76.0,197513,-624141.0,SL,0.616,65,61790022.0,138388944.0,-55.35046354570059
Ancora Indonesia Resources Tbk.,2020-05-18,2020-05-19,77,82.0,200616,926846.0,TP,0.593,65,62716868.0,138388944.0,-54.68072362774876
Ancora Indonesia Resources Tbk.,2020-06-02,2020-06-03,75,72.0,209056,-627168.0,SL,0.552,65,62089700.0,138388944.0,-55.13391590010254
Ancora Indonesia Resources Tbk.,2020-06-11,2020-06-12,97,93.0,160025,-620897.0,SL,0.617,65,61468803.0,138388944.0,-55.58257674110152
Ancora Indonesia Resources Tbk.,2020-06-16,2020-06-17,88,84.0,174627,-614687.0,SL,0.561,65,60854116.0,138388944.0,-56.02675022941139
Ancora Indonesia Resources Tbk.,2020-06-29,2020-07-06,85,82.0,178982,-608539.0,SL,0.561,65,60245577.0,138388944.0,-56.466481166298955
Ancora Indonesia Resources Tbk.,2020-07-23,2020-07-27,84,81.0,179302,-602455.0,SL,0.554,65,59643122.0,138388944.0,-56.90181579823314
Ancora Indonesia Resources Tbk.,2020-07-28,2020-07-28,87,92.0,171388,894645.0,TP,0.615,65,60537768.0,138388944.0,-56.25534363496553
Ancora Indonesia Resources Tbk.,2020-07-29,2020-09-01,84,81.0,180171,-605375.0,SL,0.583,65,59932393.0,138388944.0,-56.69278826204498
Ancora Indonesia Resources Tbk.,2020-09-03,2020-09-10,85,82.0,176271,-599321.0,SL,0.599,65,59333072.0,138388944.0,-57.12585826220338
Ancora Indonesia Resources Tbk.,2020-09-08,2020-09-10,85,82.0,174509,-593331.0,SL,0.588,65,58739741.0,138388944.0,-57.55459988190964
Ancora Indonesia Resources Tbk.,2020-09-30,2020-09-30,109,105.0,134724,-587397.0,SL,0.67,65,58152345.0,138388944.0,-57.97905286422302
Ancora Indonesia Resources Tbk.,2020-09-30,2020-11-02,109,105.0,133376,-581519.0,SL,0.67,65,57570825.0,138388944.0,-58.39925984260708
Ancora Indonesia Resources Tbk.,2020-11-05,2020-11-06,107,103.0,134511,-575707.0,SL,0.604,65,56995118.0,138388944.0,-58.81526634092966
Ancora Indonesia Resources Tbk.,2020-11-11,2020-11-12,113,120.0,126095,854924.0,TP,0.598,65,57850042.0,138388944.0,-58.1974973376486
Ancora Indonesia Resources Tbk.,2020-11-17,2020-11-20,110,110.0,131477,0.0,TIMEOUT,0.578,65,57850042.0,138388944.0,-58.1974973376486
Ancora Indonesia Resources Tbk.,2020-11-20,2020-11-24,110,106.0,131477,-578499.0,SL,0.574,65,57271543.0,138388944.0,-58.61552133817858
Ancora Indonesia Resources Tbk.,2020-11-20,2020-11-24,110,106.0,130162,-572713.0,SL,0.574,65,56698831.0,138388944.0,-59.02936364627509
Ancora Indonesia Resources Tbk.,2020-11-26,2021-01-04,111,107.0,127700,-566988.0,SL,0.584,65,56131843.0,138388944.0,-59.43906978580601
Ancora Indonesia Resources Tbk.,2021-01-07,2021-01-08,127,122.0,110495,-561315.0,SL,0.627,65,55570528.0,138388944.0,-59.84467660942625
Ancora Indonesia Resources Tbk.,2021-01-12,2021-01-13,124,119.0,112037,-555704.0,SL,0.583,65,55014825.0,138388944.0,-60.246228195801535
Ancora Indonesia Resources Tbk.,2021-01-21,2021-01-25,115,110.0,119597,-550146.0,SL,0.58,65,54464678.0,138388944.0,-60.643765010592176
Ancora Indonesia Resources Tbk.,2021-02-18,2021-02-25,101,102.0,134813,134813.0,TIMEOUT,0.623,65,54599491.0,138388944.0,-60.546348991578405
Ancora Indonesia Resources Tbk.,2021-02-23,2021-03-02,100,106.0,136498,818988.0,TP,0.566,65,55418479.0,138388944.0,-59.95454738060578
Ancora Indonesia Resources Tbk.,2021-03-02,2021-03-02,106,102.0,130703,-554181.0,SL,0.594,65,54864299.0,138388944.0,-60.354998445540566
Ancora Indonesia Resources Tbk.,2021-03-02,2021-03-02,106,102.0,129396,-548639.0,SL,0.594,65,54315660.0,138388944.0,-60.75144557790686
Ancora Indonesia Resources Tbk.,2021-03-02,2021-03-02,106,102.0,128102,-543152.0,SL,0.594,65,53772507.0,138388944.0,-61.143928520763914
Ancora Indonesia Resources Tbk.,2021-03-03,2021-03-05,105,101.0,128029,-537722.0,SL,0.566,65,53234785.0,138388944.0,-61.532487017170965
Ancora Indonesia Resources Tbk.,2021-04-15,2021-04-19,94,100.0,141581,798517.0,TP,0.588,65,54033302.0,138388944.0,-60.955477772848674
Ancora Indonesia Resources Tbk.,2021-04-20,2021-04-21,96,92.0,140711,-540330.0,SL,0.634,65,53492972.0,138388944.0,-61.34592081286494
Ancora Indonesia Resources Tbk.,2021-04-27,2021-04-29,95,91.0,140770,-534926.0,SL,0.551,65,52958046.0,138388944.0,-61.732458916660285
Ancora Indonesia Resources Tbk.,2021-09-23,2021-09-24,94,90.0,140845,-529577.0,SL,0.659,65,52428469.0,138388944.0,-62.11513182729394
Ancora Indonesia Resources Tbk.,2021-11-19,2021-11-23,82,87.0,159842,786423.0,TP,0.565,65,53214891.0,138388944.0,-61.54686244299978
Ancora Indonesia Resources Tbk.,2021-11-24,2021-11-26,81,86.0,164243,798221.0,TP,0.585,65,54013112.0,138388944.0,-60.97006708859632
Ancora Indonesia Resources Tbk.,2022-01-03,2022-01-04,86,91.0,157014,810192.0,TP,0.572,65,54823305.0,138388944.0,-60.38462075409724
Ancora Indonesia Resources Tbk.,2022-02-16,2022-02-21,68,72.0,201556,822348.0,TP,0.566,65,55645653.0,138388944.0,-59.790391203505386
Ancora Indonesia Resources Tbk.,2022-03-24,2022-03-29,54,57.0,257618,834682.0,TP,0.55,65,56480335.0,138388944.0,-59.187249091227976
Ancora Indonesia Resources Tbk.,2022-03-24,2022-03-29,54,57.0,261483,847205.0,TP,0.58,65,57327540.0,138388944.0,-58.575057845661426
Ancora Indonesia Resources Tbk.,2022-03-30,2022-04-04,59,63.0,242913,859912.0,TP,0.64,65,58187452.0,138388944.0,-57.95368450820754
Ancora Indonesia Resources Tbk.,2022-04-01,2022-04-04,59,63.0,246557,872812.0,TP,0.64,65,59060264.0,138388944.0,-57.32298961685841
Ancora Indonesia Resources Tbk.,2022-04-07,2022-04-13,62,60.0,238146,-590602.0,SL,0.724,65,58469662.0,138388944.0,-57.74975925822514
Ancora Indonesia Resources Tbk.,2022-04-13,2022-04-18,61,62.0,239629,239629.0,TIMEOUT,0.678,65,58709291.0,138388944.0,-57.57660308470884
Ancora Indonesia Resources Tbk.,2022-04-18,2022-04-21,62,60.0,236731,-587093.0,SL,0.609,65,58122198.0,138388944.0,-58.00083711889585
Ancora Indonesia Resources Tbk.,2022-04-20,2022-04-21,61,59.0,238205,-581220.0,SL,0.552,65,57540978.0,138388944.0,-58.42082731695677
Ancora Indonesia Resources Tbk.,2022-05-27,2022-05-31,58,57.0,248021,-248021.0,TIMEOUT,0.564,65,57292957.0,138388944.0,-58.6000475587125
Ancora Indonesia Resources Tbk.,2022-06-06,2022-06-13,57,55.0,251284,-572928.0,SL,0.591,65,56720029.0,138388944.0,-59.01404594864168
Ancora Indonesia Resources Tbk.,2022-06-09,2022-06-16,56,54.0,253214,-567199.0,SL,0.58,65,56152830.0,138388944.0,-59.42390455699987
Ancora Indonesia Resources Tbk.,2022-07-14,2022-07-15,55,58.0,255240,842292.0,TP,0.578,65,56995122.0,138388944.0,-58.81526345052536
Ancora Indonesia Resources Tbk.,2022-07-19,2022-07-20,60,64.0,237479,854924.0,TP,0.68,65,57850046.0,138388944.0,-58.19749444724428
Ancora Indonesia Resources Tbk.,2022-07-25,2022-07-27,69,66.0,209601,-578499.0,SL,0.748,65,57271548.0,138388944.0,-58.61551772517319
Ancora Indonesia Resources Tbk.,2022-07-27,2022-07-27,64,61.0,223716,-572713.0,SL,0.656,65,56698835.0,138388944.0,-59.02936075587078
Ancora Indonesia Resources Tbk.,2025-09-01,2025-09-02,274,290.0,51732,850474.0,TP,0.743,65,57549309.0,138388944.0,-58.41480732738303
Ancora Indonesia Resources Tbk.,2025-09-09,2025-09-10,282,271.0,51018,-575483.0,SL,0.711,65,56973826.0,138388944.0,-58.83065196306433
Ancora Indonesia Resources Tbk.,2025-09-15,2025-09-16,292,310.0,48778,854591.0,TP,0.702,65,57828416.0,138388944.0,-58.21312430854303
Ancora Indonesia Resources Tbk.,2025-09-17,2025-09-18,300,288.0,48190,-578280.0,SL,0.606,65,57250136.0,138388944.0,-58.63099005943712
Andalan Perkasa Abadi Tbk.,2021-09-23,2021-09-24,86,83.0,166424,-572499.0,SL,0.606,65,56677638.0,138388944.0,-59.044677730903125
Andalan Perkasa Abadi Tbk.,2022-02-02,2022-02-03,61,59.0,232285,-566775.0,SL,0.571,65,56110862.0,138388944.0,-59.45423067900568
